player_name,teams,FG%,3PT FG%,FT%,SPG,BPG,PPG,APG,RPG,games_played
Gary Trent Jr.,Raptors,63.69,37.71,83.43,0.32,0.48,32.9,1.6,2.5,60
Caris LeVert,Cavaliers,72.72,38.35,72.67,1.05,0.43,34.8,3.9,3.7,63
Jarrett Allen,Cavaliers,88.41,14.29,73.02,0.66,0.67,51.1,1.7,9.9,58
Darius Garland,Cavaliers,70.98,40.23,86.43,1.79,0.81,50.7,7.8,2.8,58
Fred VanVleet,Raptors,65.89,34.71,89.33,1.22,0.83,43.7,7.2,4.1,64
Dean Wade,Cavaliers,81.74,36.61,65.22,0.31,0.14,22.4,0.8,3.4,36
Precious Achiuwa,Raptors,80.44,27.45,68.64,0.41,0.57,33.7,1.0,6.2,51
Isaac Okoro,Cavaliers,82.35,33.33,78.82,0.22,0.2,23.7,1.1,2.4,65
Kevin Love,"Cavaliers, Heat",78.62,34.35,86.9,0.72,0.15,34.2,1.9,6.5,54
Christian Koloko,Raptors,87.85,0.0,66.0,0.14,0.39,19.9,0.6,3.1,49
Dalano Banton,Raptors,73.36,28.0,70.83,0.36,0.21,15.5,1.2,1.6,28
Cedi Osman,Cavaliers,72.77,38.2,65.56,0.32,0.32,22.2,1.5,2.1,68
Thaddeus Young,Raptors,85.96,16.13,78.95,0.64,0.16,20.7,1.3,3.1,50
Juancho Hernangomez,Raptors,82.14,25.76,56.25,0.15,0.13,16.0,0.6,3.1,39
Raul Neto,Cavaliers,82.4,29.41,89.66,0.32,0.13,11.8,1.8,1.0,38
Steven Adams,Grizzlies,90.21,0.0,37.76,0.82,0.24,49.9,2.3,11.8,34
Ja Morant,Grizzlies,71.41,31.62,74.2,1.98,1.35,59.0,8.1,6.1,51
Julius Randle,Knicks,73.41,33.84,74.95,1.33,0.74,65.2,4.3,10.2,70
John Konchar,Grizzlies,80.72,32.88,74.07,0.34,0.2,22.5,1.4,4.2,61
Evan Fournier,Knicks,68.96,30.56,85.71,0.52,0.16,20.5,1.4,1.8,25
Desmond Bane,Grizzlies,73.39,38.78,88.08,1.02,1.22,53.5,4.4,4.9,51
RJ Barrett,Knicks,71.15,31.55,75.07,1.23,1.27,50.6,2.8,5.0,66
Jalen Brunson,Knicks,69.82,42.05,82.93,1.32,0.74,48.5,6.2,3.6,62
Santi Aldama,Grizzlies,78.93,34.51,74.55,0.41,0.27,30.6,1.2,4.8,64
Mitchell Robinson,Knicks,92.81,0.0,47.22,0.29,0.48,43.2,0.9,9.6,52
Brandon Clarke,Grizzlies,88.15,16.67,76.42,0.39,0.28,34.1,1.3,5.5,46
Immanuel Quickley,Knicks,70.25,35.96,83.02,0.52,0.37,34.3,3.3,4.2,73
Tyus Jones,Grizzlies,68.11,35.97,82.28,0.66,0.15,23.7,5.2,2.5,68
David Roddy,Grizzlies,74.41,28.57,60.0,0.42,0.31,21.6,0.9,2.8,59
Xavier Tillman,Grizzlies,87.53,18.18,53.73,0.36,0.54,29.1,1.6,5.3,50
Isaiah Hartenstein,Knicks,88.89,21.21,70.69,0.31,0.2,30.3,1.2,6.5,74
Cam Reddish,"Trail Blazers, Knicks",74.51,32.09,84.29,0.89,0.46,27.6,1.5,2.1,37
Derrick Rose,Knicks,67.38,26.79,90.0,0.42,0.5,16.7,1.5,1.4,24
Obi Toppin,Knicks,73.34,33.49,80.0,0.27,0.25,20.9,0.8,2.8,59
Jake LaRavia,Grizzlies,81.28,34.78,77.78,0.31,0.12,13.6,0.5,2.0,26
Bam Adebayo,Heat,80.28,0.0,80.17,0.98,0.68,60.8,3.2,9.3,66
Kyle Lowry,Heat,75.48,34.89,87.39,1.1,0.4,35.5,5.2,4.2,50
Nikola Vucevic,Bulls,80.04,34.3,82.64,0.82,0.53,57.5,3.2,11.2,73
Alex Caruso,Bulls,83.9,35.77,81.69,0.86,0.24,27.5,3.0,3.1,58
Jimmy Butler,Heat,75.8,37.08,85.1,0.82,0.81,48.0,5.4,5.8,57
Tyler Herro,Heat,70.31,37.89,93.33,1.42,0.73,49.6,4.2,5.4,60
DeMar DeRozan,Bulls,72.91,31.4,87.18,1.27,0.82,53.5,5.1,4.6,66
Ayo Dosunmu,Bulls,79.52,30.77,80.82,0.73,0.61,29.8,2.5,2.7,71
Patrick Williams,Bulls,76.91,40.96,87.06,0.41,0.45,32.2,1.1,4.0,73
