game_id,home_team,home_score,away_team,away_score,winner
22200196,Bulls,103,Nuggets,126,Nuggets
22200197,Kings,122,Warriors,115,Kings
22200198,Lakers,116,Nets,103,Lakers
22200199,Pistons,111,Raptors,115,Raptors
22200200,Magic,105,Hornets,112,Hornets
22200201,Celtics,126,Thunder,122,Celtics
22200202,Heat,113,Suns,112,Heat
22200203,Rockets,106,Clippers,122,Clippers
22200204,Bucks,106,Hawks,121,Hawks
22200206,Pelicans,113,Grizzlies,102,Pelicans
22200207,Mavericks,103,Clippers,101,Mavericks
22200209,Trail Blazers,117,Spurs,110,Trail Blazers
22200210,Kings,153,Nets,121,Kings
22200211,Hornets,113,Pacers,125,Pacers
22200212,Magic,108,Timberwolves,126,Timberwolves
22200213,Wizards,120,Thunder,121,Thunder
22200214,Hawks,101,Celtics,126,Celtics
22200215,Raptors,112,Heat,104,Raptors
22200216,Bucks,113,Cavaliers,98,Bucks
22200217,Pelicans,124,Bulls,110,Pelicans
22200218,Mavericks,92,Rockets,101,Rockets
22200219,Nuggets,103,Knicks,106,Knicks
22200220,Suns,130,Warriors,119,Suns
22200221,Trail Blazers,107,Nets,109,Nets
22200222,Kings,130,Spurs,112,Kings
22200223,Clippers,96,Pistons,91,Clippers
22200224,Wizards,107,Heat,106,Wizards
22200225,Cavaliers,132,Hornets,122,Cavaliers
22200226,76ers,110,Bucks,102,76ers
22200227,Bulls,107,Magic,108,Magic
22200230,Mavericks,127,Nuggets,99,Mavericks
22200231,Pelicans,109,Celtics,117,Celtics
22200232,Jazz,134,Suns,133,Jazz
22200233,Warriors,111,Knicks,101,Warriors
22200234,Lakers,128,Pistons,121,Lakers
22200235,Hawks,124,Raptors,122,Hawks
22200236,Pacers,114,Magic,113,Pacers
22200237,76ers,109,Timberwolves,112,Timberwolves
22200238,Trail Blazers,113,Jazz,118,Jazz
22200239,Clippers,119,Spurs,97,Clippers
22200241,Wizards,106,Hornets,102,Wizards
22200242,Kings,137,Pistons,129,Kings
22200246,Mavericks,97,Nuggets,98,Nuggets
22200247,Lakers,123,Spurs,92,Lakers
22200248,Cavaliers,114,Hawks,102,Cavaliers
22200249,Pacers,123,Magic,102,Pacers
22200250,Bulls,121,Celtics,107,Bulls
22200251,Bucks,119,Trail Blazers,111,Bucks
22200252,Timberwolves,105,Heat,101,Timberwolves
22200253,Pelicans,128,Warriors,83,Pelicans
22200254,Thunder,119,Knicks,129,Knicks
22200255,Clippers,121,Jazz,114,Clippers
22200256,76ers,115,Nets,106,76ers
22200257,Grizzlies,109,Kings,113,Kings
22200258,Nuggets,108,Pistons,110,Pistons
22200260,Hornets,107,76ers,101,Hornets
22200261,Cavaliers,114,Trail Blazers,96,Cavaliers
22200262,Pacers,101,Timberwolves,115,Timberwolves
22200263,Hawks,115,Kings,106,Hawks
22200264,Celtics,125,Mavericks,112,Celtics
22200265,Heat,113,Wizards,105,Heat
22200266,Raptors,98,Nets,112,Nets
22200268,Thunder,126,Nuggets,131,Nuggets
22200269,Spurs,110,Pelicans,129,Pelicans
22200270,Jazz,116,Pistons,125,Pistons
22200271,Warriors,124,Clippers,107,Warriors
22200272,Hornets,110,Timberwolves,108,Hornets
22200273,Magic,99,76ers,107,76ers
22200274,Knicks,129,Trail Blazers,132,Trail Blazers
22200275,Celtics,122,Kings,104,Celtics
22200277,Heat,110,Wizards,107,Heat
22200278,Rockets,128,Hawks,122,Rockets
22200279,Grizzlies,132,Pelicans,111,Grizzlies
22200280,Bucks,117,Cavaliers,102,Bucks
22200281,Thunder,123,Bulls,119,Thunder
22200282,Spurs,94,Lakers,105,Lakers
22200283,Suns,108,Pistons,102,Suns
22200284,Warriors,129,Jazz,118,Warriors
22200285,Clippers,104,Nuggets,114,Nuggets
22200286,Raptors,105,Mavericks,100,Raptors
22200287,Rockets,118,Thunder,105,Rockets
22200289,Suns,113,Jazz,112,Suns
22200290,Nets,111,Trail Blazers,97,Nets
22200291,Timberwolves,114,Warriors,137,Warriors
22200292,Clippers,114,Pacers,100,Clippers
22200293,Hawks,98,Heat,106,Heat
22200294,Celtics,130,Wizards,121,Celtics
22200295,Pistons,94,Cavaliers,102,Cavaliers
22200296,Knicks,123,Grizzlies,127,Grizzlies
22200298,Bucks,124,Mavericks,115,Bucks
22200299,76ers,104,Hawks,101,76ers
22200300,Wizards,142,Timberwolves,127,Wizards
22200301,Celtics,140,Hornets,105,Celtics
22200302,Nets,109,Magic,102,Nets
22200303,Raptors,100,Cavaliers,88,Raptors
22200304,Pelicans,105,Thunder,101,Pelicans
22200306,Jazz,107,Bulls,114,Bulls
22200307,Kings,117,Suns,122,Suns
22200308,Lakers,115,Pacers,116,Pacers
22200309,Pistons,110,Knicks,140,Knicks
22200310,Mavericks,116,Warriors,113,Mavericks
22200311,Trail Blazers,112,Clippers,118,Clippers
22200313,Magic,108,Hawks,125,Hawks
22200315,Nets,113,Wizards,107,Nets
22200316,Knicks,103,Bucks,109,Bucks
22200318,Pelicans,126,Raptors,108,Pelicans
22200319,Thunder,119,Spurs,111,Thunder
22200320,Nuggets,120,Rockets,100,Nuggets
22200321,Suns,132,Bulls,113,Suns
22200322,Jazz,125,Clippers,112,Jazz
22200324,Lakers,128,Trail Blazers,109,Lakers
22200326,Hornets,117,Wizards,116,Hornets
22200327,Hawks,117,Nuggets,109,Hawks
22200328,Celtics,116,Heat,120,Heat
22200329,Nets,114,Raptors,105,Nets
22200330,Cavaliers,107,Magic,96,Cavaliers
22200331,Bucks,129,Lakers,133,Lakers
22200332,Grizzlies,117,76ers,109,Grizzlies
22200333,Spurs,99,Pelicans,117,Pelicans
22200334,Suns,121,Rockets,122,Rockets
22200335,Jazz,139,Pacers,119,Jazz
22200336,Warriors,119,Bulls,111,Warriors
22200337,Knicks,100,Mavericks,121,Mavericks
22200338,Clippers,96,Kings,123,Kings
22200339,Hornets,96,Bucks,105,Bucks
22200340,Raptors,121,Magic,108,Raptors
22200341,Timberwolves,128,Thunder,135,Thunder
22200342,Warriors,120,Rockets,101,Warriors
22200343,Jazz,111,Trail Blazers,116,Trail Blazers
22200344,Pelicans,121,Nuggets,106,Pelicans
22200345,Spurs,95,Suns,133,Suns
22200346,Nets,92,Celtics,103,Celtics
22200348,Knicks,92,Cavaliers,81,Knicks
22200349,Wizards,119,Lakers,130,Lakers
22200351,Trail Blazers,116,Pacers,100,Trail Blazers
22200352,Hornets,117,Clippers,119,Clippers
22200353,Magic,102,Bucks,109,Bucks
22200354,Hawks,114,Thunder,121,Thunder
22200355,Raptors,110,Celtics,116,Celtics
22200356,Rockets,132,76ers,123,Rockets
22200357,Grizzlies,101,Heat,93,Grizzlies
22200358,Mavericks,130,Suns,111,Mavericks
22200359,Warriors,104,Pacers,112,Pacers
22200360,Cavaliers,116,Lakers,102,Cavaliers
22200361,Heat,96,Pistons,116,Pistons
22200362,Nuggets,115,Mavericks,116,Mavericks
22200363,Magic,116,Clippers,111,Magic
22200364,Nets,122,Hornets,116,Nets
22200367,Bulls,115,Wizards,111,Bulls
22200368,Grizzlies,123,Thunder,102,Grizzlies
22200369,Bucks,126,Kings,113,Bucks
22200370,Timberwolves,121,Pacers,115,Timberwolves
22200371,Pelicans,104,Pistons,98,Pelicans
22200372,Jazz,124,Warriors,123,Jazz
22200373,Suns,98,Celtics,125,Celtics
22200374,Heat,115,Clippers,110,Heat
22200375,Spurs,118,Rockets,109,Spurs
22200376,Trail Blazers,120,Nuggets,121,Nuggets
22200377,Hornets,102,Knicks,121,Knicks
22200378,Pacers,121,Wizards,111,Pacers
22200379,Magic,113,Raptors,109,Magic
22200380,Nets,120,Hawks,116,Nets
22200381,Cavaliers,95,Kings,106,Kings
22200384,Pelicans,128,Suns,117,Pelicans
22200385,Jazz,108,Timberwolves,118,Timberwolves
22200386,Mavericks,105,Bucks,106,Bucks
22200387,Heat,111,Spurs,115,Spurs
22200388,Pacers,133,Nets,136,Nets
22200390,Cavaliers,110,Thunder,102,Cavaliers
22200391,Bulls,144,Mavericks,115,Bulls
22200392,Warriors,123,Celtics,107,Warriors
22200393,Nuggets,115,Jazz,110,Nuggets
22200395,Pelicans,129,Suns,124,Pelicans
22200396,Pistons,117,Lakers,124,Lakers
22200397,Knicks,112,Kings,99,Knicks
22200398,Magic,111,Raptors,99,Magic
22200399,76ers,131,Hornets,113,76ers
22200400,Hawks,123,Bulls,122,Hawks
22200401,Rockets,97,Bucks,92,Rockets
22200402,Pacers,82,Heat,87,Heat
22200403,Wizards,100,Nets,112,Nets
22200404,Grizzlies,128,Hawks,103,Grizzlies
22200405,Mavericks,121,Thunder,114,Mavericks
22200406,Spurs,112,Cavaliers,111,Spurs
22200407,Trail Blazers,133,Timberwolves,112,Trail Blazers
22200408,Clippers,113,Celtics,93,Clippers
22200409,76ers,123,Kings,103,76ers
22200410,Bucks,128,Warriors,111,Bucks
22200411,Rockets,111,Suns,97,Rockets
22200412,Jazz,121,Pelicans,100,Jazz
22200413,Lakers,118,Celtics,122,Celtics
22200414,Hornets,134,Pistons,141,Pistons
22200415,Pacers,125,Warriors,119,Pacers
22200416,Magic,135,Hawks,124,Magic
22200417,Raptors,123,Kings,124,Kings
22200418,Bulls,120,Knicks,128,Knicks
22200419,Thunder,108,Heat,110,Heat
22200420,Spurs,112,Trail Blazers,128,Trail Blazers
22200421,Mavericks,90,Cavaliers,105,Cavaliers
22200422,Nuggets,141,Wizards,128,Nuggets
22200423,Clippers,99,Timberwolves,88,Clippers
22200424,Rockets,108,Heat,111,Heat
22200425,Grizzlies,142,Bucks,101,Grizzlies
22200426,Jazz,132,Pelicans,129,Jazz
22200427,Clippers,95,Suns,111,Suns
22200428,Hornets,106,Hawks,125,Hawks
22200429,Pistons,113,Kings,122,Kings
22200430,Celtics,109,Magic,117,Magic
22200431,Cavaliers,118,Pacers,112,Cavaliers
22200432,76ers,118,Warriors,106,76ers
22200433,Raptors,116,Nets,119,Nets
22200434,Bulls,91,Knicks,114,Knicks
22200435,Thunder,110,Timberwolves,112,Timberwolves
22200436,Mavericks,130,Trail Blazers,110,Mavericks
22200437,Lakers,126,Nuggets,108,Lakers
22200438,Clippers,102,Wizards,93,Clippers
22200439,Spurs,101,Heat,111,Heat
