,home_team,home_score,away_team,away_score,winner,wins_home,losses_home,FG%_home,3PT FG%_home,FT%_home,offensive_rating_home,defensive_rating_home,average_assists_home,average_rebounds_home,wins_away,losses_away,FG%_away,3PT FG%_away,FT%_away,offensive_rating_away,defensive_rating_away,average_assists_away,average_rebounds_away
1080,15,119,8,115,1,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25
1081,18,109,28,112,0,25,51,77.91,33.32,74.51,111.16,117.66,25.29,44.45,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
1082,11,115,5,122,0,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
1083,12,114,25,108,1,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57
1084,29,131,2,136,0,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89,46,26,79.25,39.14,83.32,115.43,111.9,25.15,40.75
1085,1,121,21,102,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01
1086,9,101,6,84,1,41,31,79.12,38.09,79.88,113.25,111.67,25.51,40.42,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
1087,30,114,23,137,0,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
1088,10,113,24,105,1,42,33,79.25,36.96,79.22,115.09,112.36,26.09,43.63,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69
1089,16,112,26,115,0,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23
1090,13,97,3,119,0,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
1091,4,121,15,107,1,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03
1092,8,118,7,114,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
1093,27,136,14,125,1,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42
1094,1,120,29,114,1,54,23,77.85,37.77,80.47,117.39,110.87,26.75,45.45,37,36,77.92,35.2,81.62,118.7,117.82,24.89,44.89
1095,25,123,6,110,1,40,32,77.42,34.86,83.08,110.08,109.83,24.07,40.57,30,46,78.51,34.92,78.58,111.2,113.58,23.17,43.17
1096,24,136,11,141,0,40,34,77.8,35.09,76.56,115.82,113.61,22.61,46.69,29,41,78.31,36.79,78.36,115.94,118.99,26.94,41.31
1097,21,121,30,105,1,35,40,76.74,34.06,78.37,112.43,111.73,24.08,43.01,55,20,79.3,37.1,73.93,117.6,113.45,25.95,49.11
1098,12,109,28,114,0,32,40,79.0,35.28,78.07,113.26,114.36,25.43,43.83,21,52,78.83,33.13,75.27,110.92,118.38,22.41,46.21
1099,26,103,5,81,1,34,39,78.99,35.31,80.99,112.52,111.9,24.21,42.23,14,55,77.78,35.57,77.4,110.48,118.41,23.29,42.07
1100,16,117,17,138,0,33,40,78.08,36.93,76.39,113.66,114.0,22.86,38.96,21,53,78.28,34.76,74.49,112.49,121.97,27.07,43.42
1101,20,115,23,100,1,38,40,78.0,35.76,80.58,117.14,116.35,24.14,43.74,44,25,78.59,34.81,74.24,116.68,112.14,26.06,46.42
1102,8,109,13,95,1,49,28,79.61,37.96,75.1,115.65,112.95,28.77,43.25,44,32,79.42,37.13,78.62,120.59,118.2,27.37,42.5
1103,4,128,7,117,1,40,32,79.07,35.06,76.73,117.14,115.24,25.71,46.26,33,44,78.49,35.16,78.27,116.51,118.17,25.78,45.75
1104,15,114,27,119,0,41,33,77.73,37.6,79.44,113.43,111.32,27.04,44.03,41,36,78.61,37.7,77.69,113.56,112.99,23.99,43.39
1105,14,101,3,157,0,29,48,78.31,36.68,79.39,113.01,117.74,24.03,40.42,38,33,78.94,38.61,79.35,118.59,116.66,29.75,44.89
