PLAYER_ID;PLAYER_NAME;NICKNAME;TEAM_ABBREVIATION
1629308;Juan Toscano-Anderson;Juan;UTA
1627823;Juancho Hernangomez;Juancho;TOR
1630577;Julian Champagnie;Julian;SAS
203944;Julius Randle;Julius;NYK
1630551;Justin Champagnie;Justin;BOS
203200;Justin Holiday;Justin;DEN
1628382;Justin Jackson;Justin;BOS
1631303;Justin Minaya;Justin;POR
1626159;Justise Winslow;Justise;POR
203994;Jusuf Nurkic;Jusuf;PHX
1630231;KJ Martin;KJ;PHI
1629644;KZ Okpala;KZ;SAC
1630539;Kai Jones;Kai;CHA
1626157;Karl-Anthony Towns;Karl-Anthony;MIN
202695;Kawhi Leonard;Kawhi;LAC
1631099;Keegan Murray;Keegan;SAC
1628966;Keita Bates-Diop;Keita;PHX
1629640;Keldon Johnson;Keldon;SAS
203482;Kelly Olynyk;Kelly;UTA
1626162;Kelly Oubre Jr.;Kelly;CHA
202689;Kemba Walker;Kemba;DAL
1631112;Kendall Brown;Kendall;IND
1629134;Kendrick Nunn;Kendrick;WAS
1631113;Kennedy Chandler;Kennedy;MEM
1631254;Kenneth Lofton Jr.;Kenneth;MEM
1629026;Kenrich Williams;Kenrich;OKC
203484;Kentavious Caldwell-Pope;Kentavious;DEN
1631165;Keon Ellis;Keon;SAC
1630553;Keon Johnson;Keon;PHX
1630556;Kessler Edwards;Kessler;SAC
201142;Kevin Durant;Kevin;PHX
1628989;Kevin Huerter;Kevin;SAC
1628995;Kevin Knox II;Kevin;POR
201567;Kevin Love;Kevin;MIA
1629645;Kevin Porter Jr.;Kevin;OKC
1630284;Kevon Harris;Kevon;ORL
1626172;Kevon Looney;Kevon;GSW
203920;Khem Birch;Khem;SAS
203114;Khris Middleton;Khris;MIL
1630165;Killian Hayes;Killian;DET
1630184;Kira Lewis Jr.;Kira;TOR
202691;Klay Thompson;Klay;GSW
1628424;Kobi Simmons;Kobi;CHA
1627739;Kris Dunn;Kris;UTA
204001;Kristaps Porzingis;Kristaps;BOS
203937;Kyle Anderson;Kyle;MIN
1628398;Kyle Kuzma;Kyle;WAS
200768;Kyle Lowry;Kyle;CHA
202681;Kyrie Irving;Kyrie;DAL
1630163;LaMelo Ball;LaMelo;CHA
1630205;Lamar Stevens;Lamar;MEM
1629013;Landry Shamet;Landry;WAS
1626204;Larry Nance Jr.;Larry;NOP
1628374;Lauri Markkanen;Lauri;UTA
2544;LeBron James;LeBron;LAL
1630195;Leandro Bolmaro;Leandro;UTA
1631311;Lester Quinones;Lester;GSW
1629623;Lindell Wigginton;Lindell;MIL
1630322;Lindy Waters III;Lindy;OKC
1629022;Lonnie Walker IV;Lonnie;BKN
1629663;Louis King;Louis;PHI
1629652;Luguentz Dort;Luguentz;OKC
1629029;Luka Doncic;Luka;DAL
1630568;Luka Garza;Luka;MIN
1629677;Luka Samanic;Luka;UTA
1628379;Luke Kennard;Luke;MEM
1628436;Luke Kornet;Luke;BOS
1630644;Mac McClung;Mac;PHI
